|------------------------------------------------------------------------------------------------------------------------------|-----|-----|
|Frequency layout [GHz]                                                                                                        |Ref. |Max. |
|2.4       2.41      2.42      2.43      2.44      2.45      2.46      2.47      2.48      2.49      2.5       2.51      2.52  |RPD  |RPD  |
||         |         |         |         |         |         |         |         |         |         |         |         |     |[pcs]|[pcs]|
|------------------------------------------------------------------------------------------------------------------------------|-----|-----|
|   :-.               ::  ::..%%@%@#%@@@%%%%#@@@                              .-: ::                                           |  10 | 180 |
|.  ....                 .. . @@#%@@#%@@@%%%%#@@                              ::     .                                         |  10 | 180 |
|   ....                ...  .%@#%%%%%%%####%##%                            ..  ..:.                                           |  16 | 180 |
|                     ..  ...:##***###%@%%@@@%#@                            .:::                                               |  11 | 180 |
| ....                ...:... %%%%@%%%%%#***%#%%                                                                               |  16 | 180 |
|:.    .              : .:. ..-###%%@###%##%##=:                              ...:.  :                                         |  11 | 180 |
|..  ..                .:....: %%%%%%%%%%%@@%%#                             ::...                                              |  12 | 180 |
|.... ...               ..   ..@%%@@%%%@%%%%%%%                                 ..  ..                                         |  18 | 180 |
|                     .  .::.  @%#%%%#########*                             .                                                  |  11 | 180 |
|..  ..                      ::%%%%@%%%%@%%@@@%                                  .:..:                                         |  12 | 180 |
|..::::                ..    . @#**#%***##*#%##                             ..   .-:.                                          |  10 | 180 |
| ... ..                 ...   @%%%%@%%@%%##%%*                              .. ...  .                                         |  13 | 180 |
|   .. .                 ..   :*%*%%%%%@%%%%@@%                             ....... ..                                         |  14 | 180 |
|..                    ....   .-:::--::------::              .+@@@*           .......                                          |  57 | 180 |
|...                    .. ....::.:............             -#@@@#.         .       ..                                         |  72 | 180 |
|  ..  .              ..  ..   ................             :*@@@#     ...  ..                                                 |  73 | 180 |
|                      ..  ....:...............             -+@@@#           ..                                                |  73 | 180 |
|  ......             ...    ..................            .##@@%#          .....   ..                                         |  74 | 180 |
|   ....                .......:...............             #@@%%=            ..    ..                                         |  75 | 180 |
|. ...                 . ....  ::::::::::::::::             *#@@%*                                                             |  38 | 180 |
|:....                ..     ..@#**##**%**+****                               ... ...                                          |  14 | 180 |
|...   .                  ...  %**%%%%@%%##%#*#                              ..    ..                                          |  16 | 180 |
|      .               ..  ....##*#%###*%%#%@##                                 .....:                                         |  14 | 180 |
                                Wi-Fi (WLAN 6)          Microwave oven

Info: Wi-Fi idle state (no down- and uploading). A microwave oven is being used on a different floor.
