|------------------------------------------------------------------------------------------------------------------------------|-----|-----|
|Frequency layout [GHz]                                                                                                        |Ref. |Max. |
|2.4       2.41      2.42      2.43      2.44      2.45      2.46      2.47      2.48      2.49      2.5       2.51      2.52  |RPD  |RPD  |
||         |         |         |         |         |         |         |         |         |         |         |         |     |[pcs]|[pcs]|
|------------------------------------------------------------------------------------------------------------------------------|-----|-----|
|. ..          ....:.--:-::::=+**ssss%%%%@ss%%++=:-----::.....                 ....                                            |  65 | 250 |
|..... .      ......:::--:::-+=+%%s*s%@*s%*%s%+++==---=-:..                 ...    ...                                         |  58 | 250 |
|......        ...:-=:+--==--s+*@%*sss*s%%s*%s+==:-===-::...                . ..                                               |  56 | 250 |
|     ..        ..:--=--==--=++*%ss**ss*@**s+*==-:::-::......                .. ......                                         |  64 | 250 |
| .  .         ...:-===+-=:--+=*s**ss%%%%*%@@%**==+=-===::..                 .........                                         |  55 | 250 |
|.. .. .        ..:::--.:----+==s***ss%*s*s@s*+=--:--::-:...                .  ......                                          |  67 | 250 |
|.......       ...::::---:--=++*@*%s%%s***++++==-::::::.....                .. ......                                          |  63 | 250 |
|..  ..        ...:-.::=====+sss%%%%%*s%%@s**s*+-:---.::....                   .. ....                                         |  52 | 250 |
|... ...      ....:-+-+-+-=-=**s@%%%s%@s+%@@ss++---===--::..                  ....                                             |  56 | 250 |
|.   ...      ...::--====---:++*s%sss*ss%*s%@%%*+===+====...                 ... .....                                         |  63 | 250 |
| ..   ..      ...::-=====:--+*s%%%@%ss**s%@%%++----=--::...                    ....                                           |  59 | 250 |
| ...          ..:::---=----=*+*s+sss%s*%s*s@*===-----=::...                 ..  ..  .                                         |  67 | 250 |
|   ...        .....::::--===++*+*****s*****@s+=-::-:-:::...                  .....                                            |  83 | 250 |
|   ..        ....--=++++++-+s*+@%ss***s%%s@%s*++==-==--:..                  ...  ..                                           |  63 | 250 |
|  .. ..       ...::--==+=+++**+s@%sss%sssss*s+*==--===-:...                .  .... ..                                         |  79 | 250 |
|    ...       ...:-=-=+====+*+s%s%%%%*%@s%sss*======--:-...                  .....  .                                         |  60 | 250 |
| ..  ..       ...::==-----=+**+s%@ss******s**=+==-=--:-:..                 ... ..   .                                         |  70 | 250 |
|      .       ....----=++===+*s%s@@s%%%sssss%+++==-===--...                .      ..                                          |  78 | 250 |
| .....         .:::-=+===--:==+s@%%s**sss%%%s+==------:-:..                 .....  ..                                         |  72 | 250 |
|.   ...      ....::::::::---+s%*%s@%ss%s%%ss*-=:-:--:==:....               .. ..  ...                                         |  49 | 250 |
|... ..         ...:---=:--==*+=**%ss**@s****+-+==---:.:...                 .. ... ...                                         |  60 | 250 |
| .... .       ...:-+===+=+-=*+*s**ss*ss%@%%%s+++==----::..                        ...                                         |  70 | 250 |
|.              ...:===-==-==*=*s@ssssss%s%ss%**+==+=---:..      .          . ....                                             |  71 | 250 |
                                Wi-Fi (WLAN 6)

Info: uploading data through Wi-Fi.
